Wavelength (micron),fresh,1 pulse,2 pulses,3 pulse,5 pulses
6.087913118,0.062633747,0.064380592,0.063934988,0.064087929,0.066803531
6.086127221,0.062604066,0.064404223,0.063989882,0.064159039,0.066807639
6.084342371,0.062579324,0.064427255,0.064056155,0.064237877,0.066827376
6.082558567,0.062573473,0.06444215,0.064125584,0.064312971,0.066868277
6.08077581,0.062598174,0.064445779,0.064192603,0.064372509,0.066934193
6.078994097,0.06265831,0.064440402,0.064255156,0.064407976,0.06702367
6.077213427,0.062748923,0.064432277,0.064313664,0.064416562,0.067127134
6.07543011,0.062855798,0.064428906,0.064369415,0.064402544,0.06722725
6.073651528,0.062959356,0.064435144,0.064422276,0.064375231,0.067302751
6.071873987,0.06304162,0.064451547,0.064470022,0.064345688,0.067336323
6.070097486,0.063092355,0.064474629,0.064508721,0.064322547,0.067321696
6.068322024,0.063111593,0.064499585,0.064534767,0.064309245,0.067266591
6.066547601,0.063107116,0.064523677,0.064546372,0.064304349,0.067189585
6.064774215,0.063089284,0.064547894,0.064544012,0.064303687,0.067113023
6.063001865,0.063066891,0.064577277,0.06453004,0.064303448,0.067056821
6.061226877,0.063045595,0.064619759,0.064507767,0.06430256,0.067035593
6.0594566,0.063028863,0.064684056,0.064480421,0.064303735,0.067058866
6.057687357,0.063019699,0.064777265,0.064450532,0.064313358,0.067132236
6.055919146,0.063021561,0.064900991,0.064419242,0.064340018,0.067256765
6.054151968,0.063037513,0.065047103,0.064386329,0.064391907,0.067426193
6.05238582,0.063067748,0.065194647,0.0643509,0.064472271,0.067622256
6.050620703,0.063105578,0.065311921,0.064312545,0.064574071,0.067812645
6.048856615,0.063137331,0.065368648,0.064273468,0.064678792,0.067958725
6.047089898,0.063148853,0.06535345,0.064240277,0.064763696,0.068033325
6.045327868,0.063134287,0.065281941,0.064222411,0.064813318,0.068034727
6.043566865,0.063099637,0.065187453,0.064227746,0.064825308,0.067984703
6.041806887,0.063058847,0.065103773,0.064258291,0.064807944,0.067913982
6.040047934,0.063027743,0.065053322,0.064309163,0.064774248,0.067848883
6.038290005,0.063019063,0.065044025,0.064370097,0.064737549,0.067804961
6.036533098,0.063040113,0.065072111,0.064428309,0.064709602,0.067786746
6.034777214,0.063091043,0.065125329,0.064470933,0.064698648,0.067789053
6.033022351,0.063165289,0.065187808,0.064488525,0.064708281,0.067800494
6.031264871,0.063251682,0.065244685,0.064477846,0.064736595,0.067808048
6.02951205,0.063337693,0.06528569,0.06444328,0.064776154,0.067801304
6.027760247,0.063414156,0.065308001,0.064396283,0.064816348,0.067776978
6.026009462,0.063477444,0.065315456,0.064352049,0.064846372,0.067739753
6.024259694,0.063529976,0.065316079,0.064324989,0.064858913,0.067700752
6.022510941,0.063577842,0.065318551,0.064324871,0.064852532,0.06767353
6.020763204,0.063627063,0.065329054,0.064354374,0.064831762,0.067668986
6.019012858,0.063681035,0.065350412,0.064409363,0.064805806,0.067692046
6.01726715,0.063738925,0.065382275,0.06448047,0.064785093,0.067739473
6.015522454,0.063796742,0.065422807,0.064556152,0.064777838,0.0678011
6.01377877,0.063849958,0.065470671,0.064626092,0.06478727,0.067863587
6.012036096,0.063896035,0.06552541,0.064683162,0.064810715,0.067915118
6.010294432,0.063935901,0.065587141,0.064724294,0.064841262,0.067949787
6.008553777,0.063972651,0.065654874,0.064748976,0.06487057,0.067968682
6.00681413,0.06400939,0.065725331,0.064757831,0.064891676,0.067978591
6.005071884,0.064046971,0.065792813,0.06475121,0.064900463,0.067988639
6.003334252,0.064083345,0.065850672,0.064729289,0.064895756,0.068007005
6.001597625,0.064114108,0.065892805,0.064692705,0.064878659,0.068038455
5.999862003,0.064134669,0.065915673,0.064644044,0.064851887,0.068083479
5.998127385,0.06414186,0.065919144,0.06458843,0.064819405,0.068137724
5.996393769,0.064135286,0.065906358,0.064533663,0.064786134,0.068192628
5.994661155,0.064117251,0.065882189,0.06448907,0.064757499,0.068236681
5.992929542,0.064091611,0.065851706,0.064463839,0.064738712,0.068257988
5.991198929,0.064061806,0.06581824,0.06446462,0.064733148,0.068247304
5.989465728,0.064029798,0.065783541,0.064494064,0.064741724,0.068201671
5.987737114,0.063996317,0.065749281,0.064550454,0.064763115,0.068126615
5.986009499,0.063962248,0.06571894,0.06462809,0.064795195,0.068035358
5.984282879,0.063929964,0.065698756,0.064718505,0.064836932,0.067945647
5.982557256,0.063903654,0.065696494,0.064811178,0.064889359,0.06787475
5.980832628,0.063888398,0.065719026,0.064894585,0.064955077,0.06783539
5.979108993,0.063888987,0.065770153,0.064957581,0.065036902,0.067833906
5.977382779,0.063908617,0.065849216,0.064991209,0.065135579,0.067870546
