Wavelength (micron),fresh,1 pulse,2 pulse,3 pulses,5 pulses
6.118442024,0.056433603,0.056941721,0.056619345,0.057361059,0.057164711
6.116638173,0.056361202,0.056882324,0.056545891,0.05733483,0.057105098
6.114835386,0.056317453,0.056836463,0.056497208,0.057304872,0.057089589
6.11303366,0.056308691,0.056804353,0.056476935,0.057277965,0.05711755
6.111232996,0.056329428,0.05678312,0.056478852,0.057258414,0.0571767
6.109433393,0.056364899,0.056767287,0.056490843,0.057245678,0.057248895
6.107634849,0.05639898,0.056751164,0.0565017,0.057235994,0.05731891
6.105837364,0.056420906,0.05673148,0.056505262,0.0572244,0.057379596
6.10403721,0.056428107,0.056708842,0.056501134,0.057207888,0.057431613
6.102241842,0.056424311,0.056687212,0.056492113,0.057186157,0.057479032
6.100447529,0.056416038,0.056672165,0.056481194,0.05716204,0.05752453
6.098654271,0.056408828,0.056668369,0.056468937,0.057140316,0.057565841
6.096862067,0.056404446,0.056677195,0.05645296,0.057126118,0.057594809
6.095070916,0.056400503,0.05669507,0.056428883,0.057123148,0.057600187
6.093280817,0.056391207,0.056714189,0.056392463,0.057132688,0.057571945
6.09149177,0.056370502,0.056725637,0.056342367,0.057153301,0.057506138
6.089703772,0.056334376,0.056722713,0.056281187,0.057181945,0.057406886
6.087913118,0.056282677,0.05670379,0.056214961,0.057215187,0.057285306
6.086127221,0.056218518,0.056672804,0.056151344,0.057250395,0.057156439
6.084342371,0.056147442,0.056637616,0.056097505,0.057286135,0.057035429
6.082558567,0.056075938,0.056606826,0.056058649,0.057321558,0.056935399
6.08077581,0.0560106,0.056586366,0.056037846,0.057355806,0.056866124
6.078994097,0.05595819,0.056576868,0.056036988,0.057387553,0.056834347
6.077213427,0.05592552,0.056573401,0.056057925,0.057415062,0.056844035
6.07543011,0.055918981,0.056567271,0.056102722,0.057436808,0.056896439
6.073651528,0.055943069,0.056551219,0.056172616,0.057452112,0.056988468
6.071873987,0.055997429,0.056523314,0.056265108,0.057462063,0.057110954
6.070097486,0.056074914,0.056489186,0.056371329,0.057468707,0.057248187
6.068322024,0.056161796,0.056459087,0.056476957,0.05747416,0.057380207
6.066547601,0.056241329,0.056442671,0.056565858,0.057479465,0.057487737
6.064774215,0.056297949,0.056444766,0.056625444,0.057484484,0.057556757
6.063001865,0.056320424,0.056464838,0.056649745,0.057488576,0.057580316
6.061226877,0.056302362,0.056498561,0.056639881,0.057491968,0.057558034
6.0594566,0.056241559,0.056541087,0.056602543,0.05749672,0.057493887
6.057687357,0.056139498,0.056589165,0.056547913,0.057507436,0.057394902
