Wavelength (micron),fresh,1 pulse,5 pulses
3.055166531,-0.001672107,-0.00176096,-0.00161939
3.054716696,-0.001636823,-0.001753999,-0.001643163
3.054266061,-0.00162328,-0.001756508,-0.00167115
3.053816492,-0.001635934,-0.001764972,-0.001702
3.053367055,-0.001673767,-0.001773763,-0.001735092
3.05291775,-0.001730712,-0.001778357,-0.001771144
3.052468577,-0.001797144,-0.001777434,-0.001811744
3.052019537,-0.001862628,-0.001773783,-0.001858613
3.051570628,-0.001918477,-0.001773395,-0.001911994
3.051121852,-0.001959455,-0.001782984,-0.001969648
3.050672277,-0.001983907,-0.001807432,-0.002026981
3.050223764,-0.00199367,-0.001847629,-0.00207793
3.049775384,-0.001991925,-0.001900329,-0.002116645
3.049327135,-0.001982309,-0.001959527,-0.002139096
3.048879019,-0.00196791,-0.002018294,-0.002143903
3.048431034,-0.001950993,-0.002070729,-0.00213181
3.04798318,-0.001933731,-0.002112798,-0.002105198
3.047535458,-0.001918534,-0.002142353,-0.002066705
3.047086939,-0.001908517,-0.002158277,-0.002018925
3.04663948,-0.001907351,-0.00216039,-0.001964468
3.046192153,-0.001918145,-0.002149191,-0.001906916
3.045744957,-0.001942859,-0.002126892,-0.001850884
3.045297893,-0.0019811,-0.002097711,-0.00180207
3.044850959,-0.002030284,-0.002068151,-0.001765738
3.044404157,-0.002085717,-0.002045384,-0.001745314
3.043956559,-0.002142252,-0.002035369,-0.001740647
3.043510946,-0.002194865,-0.002040432,-0.001748054
3.04306361,-0.002239993,-0.002058545,-0.001761352
3.042617332,-0.002275863,-0.002083105,-0.001774038
3.042171185,-0.002302386,-0.002106071,-0.001781986
3.041725169,-0.002320578,-0.002120151,-0.001784843
3.041279284,-0.002331771,-0.002122169,-0.001786146
3.040833529,-0.002337337,-0.002113649,-0.001791683
3.040387905,-0.002338339,-0.002100123,-0.001806932
3.039941487,-0.002335803,-0.002088306,-0.00183492
3.039496124,-0.002330731,-0.002083679,-0.001874834
3.039050892,-0.002323894,-0.002088274,-0.001922962
3.03860579,-0.002315925,-0.00210064,-0.00197392
3.038160819,-0.00230674,-0.002117132,-0.002023176
3.037715978,-0.002295252,-0.002133955,-0.002068381
3.037271267,-0.002280207,-0.002149217,-0.002109373
3.036826686,-0.002260817,-0.002163419,-0.00214788
3.036381314,-0.002237912,-0.002178934,-0.002185427
3.035936993,-0.002214447,-0.002198514,-0.00222221
3.035492803,-0.002195449,-0.002223298,-0.002256551
3.035048743,-0.002186878,-0.002252826,-0.002285427
3.034604813,-0.002193523,-0.002284851,-0.002305525
3.034161012,-0.002216818,-0.002316785,-0.002314937
3.033717341,-0.002253881,-0.002346796,-0.002313865
3.0332738,-0.002297903,-0.002374542,-0.002305002
3.032830389,-0.002339247,-0.002400977,-0.002292871
3.032386188,-0.002369112,-0.002427678,-0.002282646
